local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
62,223,23,3,0.0029381609056144953,92.58620689655173,537,580
62,224,23,4,0.002499141963198781,95.0,551,580
62,225,23,5,0.0014788006665185094,97.58620689655172,566,580
62,226,23,6,0.0011856628116220236,98.10344827586206,569,580
62,227,23,7,0.0013316062977537513,97.24137931034483,564,580
62,228,23,8,0.001084873336367309,98.10344827586206,569,580
62,229,23,9,0.0013499640626832843,97.41379310344827,565,580
62,230,23,10,0.0011247622314840555,97.58620689655172,566,580
33,221,23,1,0.0224628709256649,46.166950596252136,271,587
33,222,23,2,0.015344258397817612,50.255536626916516,295,587
33,223,23,3,0.014652966521680355,49.91482112436116,293,587
33,224,23,4,0.013056845404207706,50.76660988074957,298,587
33,225,23,5,0.012880480848252773,51.10732538330494,300,587
33,226,23,6,0.013064822182059288,49.57410562180579,291,587
33,227,23,7,0.012708314694464207,49.063032367972745,288,587
33,228,23,8,0.012781173922121525,51.618398637137986,303,587
33,229,23,9,0.012642991729080677,51.10732538330494,300,587
33,230,23,10,0.012562860734760761,50.76660988074957,298,587
88,221,23,1,0.01512486394494772,58.58310626702997,430,734
88,222,23,2,0.012395882047712803,64.71389645776566,475,734
88,223,23,3,0.00979518424719572,63.48773841961853,466,734
88,224,23,4,0.008940242230892181,66.62125340599455,489,734
88,225,23,5,0.008862798102200031,65.80381471389646,483,734
88,226,23,6,0.00896439328789711,65.53133514986375,481,734
88,227,23,7,0.008416928350925446,69.75476839237056,512,734
88,228,23,8,0.008814739063382149,67.43869209809264,495,734
88,229,23,9,0.00845347996801138,66.21253405994551,486,734
88,230,23,10,0.008558215573430061,68.25613079019074,501,734
25,23,23,1,0.0019747011829167604,96.11486486486487,569,592
81,23,23,1,0.0020460959058254957,95.59748427672956,608,636
68,23,23,1,0.002895370125770569,94.1712204007286,517,549
12,23,23,1,0.001542322221212089,98.48275862068967,714,725
98,23,23,1,0.0015850461786612868,97.08029197080292,532,548
80,23,23,1,0.004982354119420052,89.47368421052632,476,532
47,23,23,1,0.0013880719197914004,98.87640449438202,528,534
50,23,23,1,0.0025715790688991547,95.80712788259959,457,477
