model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
33,33_trigger,,25,0.46145942466903433,91.99375557537913,8250,8968
88,88_trigger,,25,0.29118182279508525,94.02319357716324,8432,8968
global,combine,,25,3.736443901572453,4.159232827832293,373,8968
global,global_in_41_trigger,,25,4.458525825035987,2.074041034790366,186,8968
global,global_in_73_trigger,,25,4.4374383076507,2.107493309545049,189,8968
global,global_in_51_trigger,,25,4.272257227008626,2.4531668153434434,220,8968
global,global_in_74_trigger,,25,3.736443985582568,4.159232827832293,373,8968
global,global_in_3_trigger,,25,4.458525891606027,2.074041034790366,186,8968
global,global_in_18_trigger,,25,4.437438391022763,2.107493309545049,189,8968
global,global_in_29_trigger,,25,4.272257189363587,2.4531668153434434,220,8968
global,global_in_62_trigger,,25,3.7364439706946992,4.159232827832293,373,8968
global,global_in_33_trigger,,25,4.458525877994262,2.074041034790366,186,8968
global,global_in_88_trigger,,25,4.437438250226064,2.107493309545049,189,8968
41,41_trigger,,26,0.6281043917977522,75.13380909901873,6738,8968
73,73_trigger,,26,0.21539242185459512,94.49152542372882,8474,8968
51,51_trigger,,26,0.02282756911615619,99.98884924174844,8967,8968
74,74_trigger,,26,0.011318089120939444,99.49821587867976,8923,8968
3,3_trigger,,26,0.5873387700526657,92.9750223015165,8338,8968
18,18_trigger,,26,0.5306480421645635,85.35905441570026,7655,8968
29,29_trigger,,26,0.022675208390975348,99.67662801070473,8939,8968
62,62_trigger,,26,0.01985746025283099,99.18599464763605,8895,8968
33,33_trigger,,26,0.4676247651719494,90.28768956289028,8097,8968
88,88_trigger,,26,0.251186305555672,94.64763603925067,8488,8968
global,combine,,26,4.884031216657981,0.9589652096342551,86,8968
global,global_in_41_trigger,,26,5.584973797640771,0.3345227475468332,30,8968
global,global_in_73_trigger,,26,5.560441453152741,0.3456735057983943,31,8968
global,global_in_51_trigger,,26,5.417828030292739,0.423728813559322,38,8968
global,global_in_74_trigger,,26,4.884031310238868,0.9589652096342551,86,8968
global,global_in_3_trigger,,26,5.584973748723488,0.3345227475468332,30,8968
global,global_in_18_trigger,,26,5.560441404660827,0.3456735057983943,31,8968
global,global_in_29_trigger,,26,5.417828083463697,0.423728813559322,38,8968
global,global_in_62_trigger,,26,4.8840314084987995,0.9589652096342551,86,8968
global,global_in_33_trigger,,26,5.584973858468348,0.3345227475468332,30,8968
global,global_in_88_trigger,,26,5.560441552263408,0.3456735057983943,31,8968
41,41_trigger,,27,0.5267445731652197,80.24085637823372,7196,8968
73,73_trigger,,27,0.2657853964181163,96.72167707404104,8674,8968
51,51_trigger,,27,0.024420100072337303,99.9442462087422,8963,8968
74,74_trigger,,27,0.01928298438655796,99.21944692239072,8898,8968
3,3_trigger,,27,0.6270100246254192,86.30686886708297,7740,8968
18,18_trigger,,27,0.25025493432962925,97.05619982158787,8704,8968
